DAY_OF_MONTH,ORIGIN,DEST,DEP_TIME,ARR_TIME
12,LAX,IAH,0130,0620
13,CLT,PHL,1950,2117
13,PIT,CLT,1720,1833
13,DFW,CLT,1814,2131
13,PIT,IND,2238,2306
13,PHL,TPA,1855,2148
13,PHL,ATL,1817,2014
13,CLT,EWR,1532,1703
13,CLT,CHS,2256,2351
13,PHL,MHT,1706,1809
13,CLT,PIT,1542,1655
13,MCO,PIT,1823,2028
13,ATL,CLT,1856,1950
13,CLT,PIT,1517,1628
13,TPA,CLT,1952,2123
13,TPA,PIT,1735,1948
13,PHL,MSP,1954,2141
13,LAS,CLT,0013,0713
13,CLT,LAS,2312,0055
13,MCO,CLT,2120,2241
13,PHL,LAS,2150,0023
13,CLT,LAS,2139,2304
13,RDU,PHL,1837,1942
13,LAS,CLT,0045,0739
13,PIT,LAS,2114,2313
13,PHL,BUF,1549,1658
13,ATL,CLT,1723,1821
13,CLT,DAY,1940,2056
13,BNA,PHL,1725,2020
13,PIT,MSP,2300,0010
13,SAV,CLT,1945,2038
13,TPA,CLT,1627,1749
13,CLT,CLE,1755,1912
13,MHT,PHL,1905,2022
13,PHL,STL,0055,0211
13,CLT,STL,1901,1950
13,CLT,ALB,1935,2127
13,CLT,SAV,1853,1937
13,PIT,STL,1910,1950
13,IND,PIT,1924,2133
13,CLT,BWI,1659,1808
13,BWI,CLT,2246,0004
13,PIT,PHL,1627,1720
13,CLT,MEM,1954,2024
13,MSP,PIT,1856,2144
13,PIT,MCO,1915,2133
13,CLT,PHL,2136,2307
13,BWI,PIT,2348,0106
13,PIT,MIA,0049,0330
13,TPA,PHL,1853,2117
13,MEM,CLT,1424,1655
13,ATL,PHL,2105,2314
13,CLT,IND,2057,2127
13,CLT,TPA,2111,2243
13,MKE,CLT,1744,2021
13,PHL,MHT,2232,2343
13,PIT,PHL,2053,2202
13,PIT,BNA,1836,1853
13,CLT,IND,0028,0054
13,JAX,CLT,2042,2204
13,PIT,TPA,2334,0146
13,PIT,CLT,1944,2106
13,CLT,MEM,2052,2124
13,PIT,BNA,2228,2257
13,ATL,CLT,2015,2110
13,CLT,CHA,2047,2135
13,CLT,BUF,2051,2225
13,CLT,MCO,2257,0038
13,BNA,PHL,1809,2119
13,BUF,PHL,1747,1854
13,CLT,SAV,2206,2254
13,PHL,MCO,2244,0109
13,PHL,BWI,2301,2339
13,CLT,MSP,1624,1808
13,BUF,CLT,2026,2203
13,IND,CLT,2128,0017
13,PIT,DAY,0002,0121
13,ALB,PIT,2047,2231
13,PIT,RSW,2328,0204
13,CLT,BWI,2123,2233
13,PHL,CLT,1810,1940
13,STL,CLT,2010,2247
13,JAX,PHL,2155,0004
13,PHL,ATL,1801,1955
13,PIT,MHT,2247,0012
13,PIT,BUF,2319,0006
13,MCO,PHL,0005,0208
13,SYR,PIT,1839,1939
13,PIT,ATL,2111,2248
13,PHL,SYR,2243,2354
13,DAY,PIT,1918,2006
13,CLT,CMH,2256,0048
13,CLT,ATL,2322,0014
13,BUF,PIT,2059,2206
13,PIT,SDF,2135,2259
13,CLE,CLT,1931,2051
13,BNA,CLT,1638,1846
13,PIT,BUF,1954,2043
13,CLT,BWI,2300,0016
13,CLT,JAX,2013,2133
13,CLT,BNA,1612,1618
13,DFW,PIT,1729,2120
13,STL,CLT,1521,1813
13,CLT,CMH,1931,2043
13,CMH,PHL,2130,2254
13,CLT,MKE,2136,2236
13,PIT,CMH,2041,2134
13,BNA,CLT,2200,0011
13,MIA,CLT,1942,2131
13,CLT,SYR,1930,2113
13,BNA,PIT,1916,2141
13,PHL,PIT,2147,2304
13,CLT,PIT,1911,2029
13,CLT,ALB,1557,1745
13,PHL,IAH,2108,2312
13,MSP,PHL,1711,2015
13,CLT,BUF,1823,1954
13,PIT,SYR,2339,0035
13,CLT,ATL,1730,1821
13,IND,PHL,1638,1917
13,SYR,PHL,1733,1835
13,PIT,IND,2017,2059
13,JAX,LGA,1637,""
13,MCO,SYR,2212,0045
13,MCO,ALB,2024,2252
13,BWI,TPA,2056,2320
13,MIA,BWI,1750,2014
13,BWI,MHT,2129,2249
13,TPA,BWI,2019,2216
13,MEM,JAN,2213,2259
13,DEN,MSP,1905,2157
13,DEN,MSP,1938,2243
13,MSP,PHX,2336,0055
13,IAD,MSP,2045,2259
13,MCI,DTW,2000,2323
13,SLC,MSP,1820,2136
13,DFW,DTW,1939,0007
13,DTW,MSP,2346,0044
13,BNA,MSP,1905,2111
13,MSP,LAS,0053,0211
13,ATL,MSP,2040,2301
13,MSP,FAR,0005,0059
13,MSP,DTW,2128,0015
13,DTW,MSP,2228,2314
13,IND,MEM,2032,2152
13,DFW,MEM,1948,2121
13,MEM,BWI,2249,0137
13,MSY,MEM,1937,2046
